# hs_truth_z, event_#
-36.4196,663.0000
-36.7800,664.0000
-15.4512,665.0000
47.8534,666.0000
68.6806,667.0000
-20.8895,668.0000
-62.3534,669.0000
16.9515,670.0000
-13.7159,671.0000
-23.0904,672.0000
12.1748,673.0000
-27.4078,674.0000
-14.4044,675.0000
-78.1516,676.0000
-60.4365,677.0000
-46.3156,678.0000
-122.7992,679.0000
-21.1292,680.0000
23.5305,681.0000
-3.6447,682.0000
-8.9534,683.0000
-71.7148,684.0000
59.8287,685.0000
37.5858,686.0000
8.8772,687.0000
-6.0418,688.0000
-36.7370,689.0000
65.0267,690.0000
-14.4290,691.0000
-6.1449,692.0000
9.2546,693.0000
-8.3209,694.0000
21.1341,695.0000
15.8186,696.0000
6.8717,697.0000
-72.1373,698.0000
14.8204,699.0000
-24.7664,700.0000
17.0050,701.0000
58.2103,702.0000
9.4011,703.0000
86.2876,704.0000
19.9546,705.0000
80.9942,706.0000
-41.6381,707.0000
-65.6076,708.0000
-41.1698,709.0000
6.6218,710.0000
50.7011,711.0000
-93.8652,712.0000
-4.3296,713.0000
-94.1012,714.0000
28.9587,715.0000
-2.1067,716.0000
-11.8839,717.0000
-47.8005,718.0000
-18.0220,719.0000
-29.4075,720.0000
-12.5569,721.0000
70.9682,722.0000
13.7649,723.0000
-77.6374,724.0000
30.0955,725.0000
-61.5716,726.0000
24.6769,727.0000
-112.9478,728.0000
10.5693,729.0000
39.7585,730.0000
-21.2613,731.0000
18.7377,732.0000
3.9835,733.0000
-0.0442,734.0000
44.5115,735.0000
27.2431,736.0000
-19.6651,737.0000
76.0898,738.0000
-89.5820,739.0000
48.5212,740.0000
45.6929,741.0000
-98.5054,742.0000
85.3393,743.0000
4.8663,744.0000
-52.9168,745.0000
-2.6849,746.0000
-39.0132,747.0000
-17.9716,748.0000
-13.6469,749.0000
-29.9497,750.0000
-5.1835,751.0000
48.4237,752.0000
-37.6991,753.0000
-28.8715,754.0000
35.6477,755.0000
-42.5742,756.0000
46.4479,757.0000
42.5478,758.0000
-99.7437,759.0000
5.5239,760.0000
38.6242,761.0000
35.2948,762.0000
6.0715,763.0000
-66.2300,764.0000
-33.1321,765.0000
58.7098,766.0000
-72.1496,767.0000
54.9691,769.0000
-43.4175,770.0000
-10.9788,771.0000
5.6202,772.0000
-24.6737,773.0000
-15.4979,774.0000
-16.4182,775.0000
-29.9511,776.0000
-32.0730,777.0000
8.9127,778.0000
-21.0201,779.0000
-20.3170,780.0000
25.7332,781.0000
52.4666,782.0000
-14.5786,783.0000
2.0284,784.0000
6.2567,785.0000
-112.5682,786.0000
-7.6016,787.0000
3.5088,788.0000
-72.3410,789.0000
-39.5526,790.0000
6.6953,791.0000
16.3480,792.0000
29.9841,793.0000
32.4318,794.0000
-4.8233,795.0000
38.5470,796.0000
6.8288,797.0000
96.9976,798.0000
28.0353,799.0000
-40.5084,800.0000
-24.0274,801.0000
-11.5818,802.0000
-40.4557,803.0000
55.7595,804.0000
-65.8405,805.0000
40.9168,806.0000
-6.5710,807.0000
23.7608,808.0000
-26.6077,809.0000
-38.0241,810.0000
52.1895,811.0000
-82.5041,812.0000
42.2736,814.0000
-37.1246,815.0000
60.2549,816.0000
34.6634,817.0000
8.8052,818.0000
-29.2674,819.0000
-42.7997,820.0000
20.2875,821.0000
103.1690,822.0000
42.5767,823.0000
1.6150,824.0000
-50.0615,825.0000
46.3472,826.0000
-2.5204,827.0000
-48.0624,828.0000
36.6334,829.0000
-21.1252,830.0000
-45.4105,831.0000
45.6456,832.0000
64.2475,833.0000
-56.3476,834.0000
54.3807,835.0000
-36.3357,836.0000
-89.1092,837.0000
51.2077,838.0000
35.4747,839.0000
-15.3672,840.0000
-104.4385,841.0000
5.6604,842.0000
9.1118,843.0000
24.0029,844.0000
9.1209,845.0000
10.6376,846.0000
36.1411,847.0000
-42.9433,848.0000
5.5882,849.0000
4.9548,850.0000
-0.5037,851.0000
57.4049,852.0000
-24.5322,853.0000
-19.5235,854.0000
17.0076,855.0000
46.8904,856.0000
76.4523,857.0000
41.5276,858.0000
34.2525,859.0000
-13.5529,860.0000
50.3041,861.0000
31.0498,862.0000
-100.0675,863.0000
26.6243,864.0000
-11.2675,865.0000
28.1118,866.0000
-7.6128,867.0000
6.2371,868.0000
-3.5925,869.0000
-108.7388,870.0000
-5.9931,871.0000
-2.9130,872.0000
-32.0143,873.0000
9.6945,874.0000
-28.9261,875.0000
50.2144,876.0000
18.7353,877.0000
62.4337,878.0000
-10.6852,879.0000
-2.8764,880.0000
-40.7451,881.0000
45.8227,882.0000
-54.3118,883.0000
-20.8243,884.0000
-53.6549,885.0000
21.4550,886.0000
-4.8084,887.0000
-19.6559,888.0000
7.5656,889.0000
-55.0126,890.0000
6.7943,891.0000
-32.9604,892.0000
-21.3717,893.0000
-60.4169,894.0000
-154.5397,895.0000
111.3439,896.0000
-12.8252,897.0000
6.7437,898.0000
13.6489,899.0000
-113.8053,900.0000
29.6992,901.0000
-23.1295,902.0000
36.1662,903.0000
-11.7223,904.0000
-71.0663,905.0000
16.7836,906.0000
27.9669,907.0000
-27.5824,908.0000
-96.4053,909.0000
23.9155,910.0000
-18.1422,911.0000
-30.6919,912.0000
-3.0868,913.0000
33.2357,914.0000
38.5264,915.0000
6.0371,916.0000
-21.8561,917.0000
9.6518,918.0000
64.7746,920.0000
13.7046,921.0000
52.6635,922.0000
-96.7622,923.0000
-18.0012,924.0000
-8.3874,925.0000
16.1737,926.0000
-19.8692,927.0000
-21.1430,928.0000
-29.7420,929.0000
1.2859,930.0000
13.3924,931.0000
6.7159,932.0000
-31.6167,933.0000
-36.6870,934.0000
-82.7678,935.0000
-76.9817,936.0000
17.1692,937.0000
90.0082,938.0000
8.7350,939.0000
-77.5492,940.0000
-4.0869,941.0000
-10.7475,942.0000
-43.8044,943.0000
-25.6594,944.0000
29.7783,945.0000
29.0390,946.0000
34.8856,947.0000
-40.2204,948.0000
10.1429,949.0000
7.3539,950.0000
18.7071,951.0000
49.0662,952.0000
47.8817,953.0000
-97.5671,954.0000
-18.9972,955.0000
70.7538,956.0000
33.5483,957.0000
58.8826,958.0000
30.0566,959.0000
-32.1437,960.0000
-10.1790,961.0000
76.3008,962.0000
-14.8225,963.0000
3.6769,964.0000
34.7146,965.0000
-53.2449,966.0000
-91.2020,967.0000
32.2194,968.0000
16.4858,969.0000
21.0246,970.0000
-19.3116,971.0000
-35.4826,972.0000
14.1373,973.0000
-52.2630,974.0000
-36.1999,975.0000
-8.4280,976.0000
40.8889,977.0000
-43.7871,978.0000
-2.4200,979.0000
99.8142,980.0000
-13.3116,981.0000
-84.1362,982.0000
16.9179,983.0000
-10.7388,984.0000
25.2552,985.0000
-42.4543,986.0000
21.0135,987.0000
-89.2177,988.0000
0.5383,989.0000
-38.2462,990.0000
51.7249,991.0000
-71.2407,992.0000
-44.6032,993.0000
-8.5186,994.0000
25.4661,995.0000
-87.5207,996.0000
-13.8865,997.0000
-5.4805,998.0000
62.7555,999.0000
-61.9092,1000.0000
23.6928,1001.0000
27.3919,1002.0000
-83.8759,1003.0000
92.1298,1004.0000
64.0481,1005.0000
71.1210,1006.0000
-10.5904,1007.0000
11.2714,1008.0000
11.5037,1009.0000
-38.2981,1010.0000
31.0111,1011.0000
-46.9604,1012.0000
9.9611,1013.0000
-98.2501,1014.0000
-34.4342,1015.0000
32.9999,1016.0000
-17.0239,1017.0000
47.2297,1018.0000
42.1749,1019.0000
0.8397,1020.0000
-66.9706,1021.0000
-10.7709,1022.0000
-54.7137,1023.0000
77.8827,1024.0000
-15.8065,1025.0000
-7.3240,1026.0000
73.8261,1027.0000
20.0578,1028.0000
40.8111,1029.0000
-7.8757,1030.0000
16.0128,1031.0000
-31.3628,1032.0000
86.5470,1033.0000
-29.8414,1034.0000
-42.0171,1035.0000
23.8706,1036.0000
-13.1584,1037.0000
-32.1231,1038.0000
-20.2825,1039.0000
-24.8804,1040.0000
2.3424,1041.0000
32.0947,1042.0000
2.4037,1043.0000
20.3851,1044.0000
63.9375,1045.0000
-4.7656,1046.0000
-45.1034,1047.0000
-45.1093,1048.0000
74.1941,1049.0000
-8.7349,1050.0000
21.3031,1051.0000
-16.5766,1052.0000
-1.6559,1053.0000
84.5580,1054.0000
-3.5211,1055.0000
-59.0085,1056.0000
-25.3414,1057.0000
-8.1105,1058.0000
-14.6280,1059.0000
-37.0163,1060.0000
